Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2004,AQS,60010007,1,11,ug/m3 LC,46,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/02/2004,AQS,60010007,1,12.2,ug/m3 LC,51,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/03/2004,AQS,60010007,1,16.5,ug/m3 LC,60,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/04/2004,AQS,60010007,1,19.5,ug/m3 LC,67,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/05/2004,AQS,60010007,1,11.5,ug/m3 LC,48,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/06/2004,AQS,60010007,1,32.5,ug/m3 LC,94,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/07/2004,AQS,60010007,1,15.5,ug/m3 LC,58,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/08/2004,AQS,60010007,1,29.9,ug/m3 LC,88,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/09/2004,AQS,60010007,1,21,ug/m3 LC,70,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/10/2004,AQS,60010007,1,15.7,ug/m3 LC,59,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/11/2004,AQS,60010007,1,19.9,ug/m3 LC,67,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/12/2004,AQS,60010007,1,21.5,ug/m3 LC,71,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/13/2004,AQS,60010007,1,13.6,ug/m3 LC,54,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/14/2004,AQS,60010007,1,17.4,ug/m3 LC,62,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/15/2004,AQS,60010007,1,24.1,ug/m3 LC,76,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/16/2004,AQS,60010007,1,20.3,ug/m3 LC,68,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/17/2004,AQS,60010007,1,26.8,ug/m3 LC,82,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/18/2004,AQS,60010007,1,44.5,ug/m3 LC,123,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
01/19/2004,AQS,60010007,1,29.6,ug/m3 LC,88,Livermore,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
